P10790390X0000|67 75|mod ( mdg4 )
P07565712A0286|26 33|LYS2 gene
P07936635A1134|68 83|wild-type protein
P09581834A2578|139 143|erbB1
P09155024A0955|16 19|EFG1
P09819440A0000|87 100|RNA polymerases
P07565669T0000|87 122|myogenic basic helix-loop-helix factors
P08264591A1190|58 62|TFIIB
P09584194A1305|59 62|HEF1
P08900190A0430|86 90|MKP-1
P09036529A0343|82 84|IgE
P10215594A1728|49 52|CRE1
P08915508A0000|308 310|Env
P08317092A0304|48 71|NTP-binding helicase motif
P09917387T0000|3 41|RNA polymerase III-recruiting factor TFIIIB
P09575187A1558|16 24|NF-kappaB
P02637597A0362|83 85|IgM
P09326317A0372|76 84|EXT2 genes
P02538720A0582|26 43|polyubiquitin genes
P08626493A1468|98 100|pRb
P02391344T0000|31 59|rat NADH-cytochrome b5 reductase
P02229068A0156|101 114|precursor SU-TM
P08843412A0543|68 69|TR
P08356792T0000|0 9|HTLV-1 gene
P07897359A0354|32 39|F protein
P09582327A0295|51 69|rat GnRH receptor cDNA
P09829843A0119|3 40|hematopoietic colony-stimulating factors
P08662852A1297|28 51|GRK5 phosphoacceptor sites
P08823163T0000|29 52|diphtheria toxin repressor
P10650958A1315|55 66|c-myb element
P11593394A0000|30 37|TGF-beta
P07490770A0267|89 106|yeast coxI intron aI4
P07876210A0751|82 86|Bm3P1
P09049270A0488|179 187|type II MTs
P02115121A0000|132 160|dihydrolipoyl transsuccinylase
P01535242A0557|80 88|c-fms mRNA
P09234725A1892|111 114|AP-1
P11246887A0000|56 86|cholesteryl ester transfer protein
P11054565A0654|85 90|GTPase
P09199348A0156|89 118|Saccharomyces cerevisiae U14 RNAs
P10080875A0772|209 220|AP-1 proteins
P10403575A1401|15 22|StAR gene
P07780148A1153|11 13|PML
P09162092A0675|103 107|MEKK2
P08731511A0625|29 43|antithrombin III
P11376007A0584|46 58|protein kinase
P01876836T0000|46 61|GA binding protein
P10523640A0367|11 27|Src tyrosine kinase
P10366503A1506|212 227|terminase regions
P08794869A0274|66 83|alpha 2 integrin gene
P09760243A0970|88 102|apoCIII promoter
P01384229A0175|197 228|chloramphenicol acetyl transferase
P08013348A0143|0 12|Mammalian ABPs
P10608893A0727|9 13|Hp140
P11119611A0428|24 56|latency-associated nuclear antigen 2
P09441664A0377|85 101|HNF-3 beta promoter
P07737508A0649|53 59|tRNAIle
P11500913A1238|48 62|beta-casein mRNA
P07779811A0901|13 22|Sp1 element
P08013348A0143|16 20|SHBGs
P07984088A0592|113 116|PrfA
P09121435A1183|43 59|TFIIIB-DNA complex
P08552082A0480|39 41|CAP
P09135066A0653|36 39|Mek1
P10477748A1076|10 13|p193
P00221725A0523|43 52|peroxidase
P09651375T0000|0 5|GTPase
P11069756A2618|124 142|focal adhesion kinase
P11319098A0164|37 54|protein translocase
P02967915A0000|103 116|calbindin-D28K
P08843419A1290|29 33|OCFRE
P09032259A0972|33 35|SRF
P09006914A0812|66 70|ATF-2
P09495283A0000|96 99|HSF1
P08877103A0081|22 25|mdr2
P10794405A0000|59 67|histone H1
P10869076A1384|116 123|rut sites
P10557308A0000|59 61|RAS
P02832149A1009|164 177|myb transcripts
P07616569A0168|165 168|atp6
P01628806A1347|99 112|helicase region
P10518561A0885|47 48|PH
P11486476A1512|14 22|troponin T
P07520098A0211|99 122|class I Kb-encoded sequence
P11419938T0000|130 153|diphtheria toxin repressor
P08280925A0261|153 155|IgM
P07941750A0344|89 99|hydatoinase
P08088777A0754|72 77|Notch1
P09528950A0716|41 62|luciferase reporter gene
P00050628A0202|2 4|IgG
P08665853A0228|161 166|ErbB-2
P08595878A0201|67 70|Ras1
P08021175A0486|3 20|pexB upstream region
P09524222A0769|241 254|protein kinase C
P08584035A0740|130 144|3 beta I-A element
P09792627A0441|0 4|SRC-1
P07797476A1001|17 21|TFIIF
P07958911A0500|7 26|trithorax binding site
P11222720A1699|52 56|Notch
P10487921A0132|0 3|ATF1
P08269424A0339|41 43|TRH
P10318806A0918|100 115|Src family kinases
P10524258T0000|12 47|avian fibroblast growth factor receptor 1
P08621628A1233|62 69|hGRalpha
P08208540A1114|39 43|NFKB2
P10579722T0000|64 73|Rho-kinase
P01645902A1462|37 45|Syn 5 locus
P10480937A0000|71 78|DAKAP200
P08376796A0172|125 128|IgG1
P04032349A0000|134 142|Urokinase
P03619249A0428|127 134|anti-HBc
P10657658A0165|41 51|HA fragments
P09514272A0482|14 17|MvaT
P10601344A1653|160 163|Rac1
P08509335T0000|0 3|SSG1
P01774063A0161|163 165|Ltk
P02601707A0986|32 37|DNase I
P07483276A0139|130 149|herpes simplex virus-1
P09987176A0260|102 109|anti-HAV
P01655713A0294|100 132|chromosomal Tn1 insertional mutation
P10080875A0772|193 195|p52
P10231485A0342|105 108|TtrB
P09751114A0967|55 56|E3
P10918572A1547|47 51|ErbBs
P11431348A0000|87 116|mitogen-activated protein kinase
P10671520T0000|24 57|human I-mfa domain-containing protein
P09566882A0693|78 81|Pho4
P03133250A0000|71 97|human menopausal gonadotropin
P08440720A1404|23 42|full-length PfCPK cDNA
P08231398A0802|242 244|CD4
P07926749A0471|66 74|ROR alpha 1
P09652736A1205|72 75|p300
P10873387A0816|81 102|mouse synaptophysin gene
P03143048A1091|0 14|HDL-cholesterol
P01572549A0000|168 188|growth factor receptors
P09223479A1193|155 163|BHRF1 gene
P07707523A0704|26 34|NF-kappa B
P10860846A0480|46 48|AP2
P01358190A0654|33 41|H-2E beta k
P10369418A0644|190 194|c-Rel
P10087993A1352|95 122|beta globin gene flanking region
P10342829A0236|24 28|GnRHR
P09275164A0000|101 117|RNA triphosphatase
P08702556A0000|74 76|PAP
P01851862A0273|29 35|env gene
P10342829A0236|106 111|hGnRHR
P06152844T0000|36 44|prolactin
P03881260A0000|28 35|gene CP A1
P08951815A0465|19 22|ASN2
P10521509A0000|193 197|RGS11
P10391903T0000|86 94|ERK kinase
P09639074A0707|9 19|Sp3 isoforms
P02733690T0000|67 82|nitrate reductase
P07498791A0680|100 112|protein kinase
P10602507A0652|23 30|cyclin D1
P01328197A0985|91 93|ras
P08977235A0134|53 56|JAK1
P08902847A1946|242 246|rehCG
P09317131A1332|84 88|STAT6
P10518502T0000|0 4|nos-1
P00676790T0000|0 10|Angiotensin
P10857262A0186|100 131|BTB protein-protein-binding domain
P10650939A1542|61 64|PR-A
P10452951A0000|0 22|Nuclear hormone receptors
P07977648A0880|15 29|TP53 transcripts
P08643633A1187|54 57|CBF1
P10665798A0598|63 81|alkaline phosphatase
P10318806A0918|252 254|Crk
P02045366A1149|38 41|KlaA
P08876167A0717|98 101|p107
P08597636A0000|3 12|T-box motif
P00033873T0001|28 31|GGTP
P10477583A0000b|32 34|BCR
P07918494A1163|51 70|thioredoxin reductase
P07623840A0352|49 52|GCN2
P01630455A0448|39 45|NF beta A
P08522511A1578|26 29|pelA
P08717391A0466|195 199|HBcAg
P08917696A0485|330 348|SV40 minimal promoter
P08521717A0126|2 17|immunoperoxidase
P09354676A1714|118 126|FGFR3 gene
P01844982A0324|72 87|rheumatoid factor
P11145955A0189|227 255|transforming growth factor alpha
P02668691A0570|30 33|nagA
P09650299A1334|38 53|VirD2 omega domain
P08706731A1303|170 188|ginseng ribonuclease
P01549129A0356|121 123|Src
P10454561A0594|145 160|IkappaBalpha gene
P10942587A0981|140 148|E7 protein
P09104816A0610|11 13|Vpu
P10438924T0000|3 22|B cell antigen receptor
P07748952A1329|179 184|RNase E
P10736223A1227|88 91|PrgX
P07999363A0000|35 58|transmembrane FGF receptor
P10684265T0000|93 120|ubiquitin-homologous proteins
P08914522A0118|3 11|STE20 gene
P06953957A0503|66 74|myoglobin
P09324988X0000|37 49|nuclear lamins
P02081463A0110|28 35|Spec gene
P10727433T0000|95 128|macrophage colony-stimulating factor
P09726987T0000|53 74|transcription factor IID
P08253387A1291|35 44|hLEF HMG box
P08702807A0964|136 150|cyclin D1 protein
P07929560T0000|46 55|desmoglein
P07935383A0108|67 70|CstF
P09294139A0729|35 52|human HS12 enhancers
P10889399A0243|64 66|MEK
P09837907A0857|108 116|caspase-3
P02985820A1287|57 65|c-myc gene
P10392903A0000|71 73|p53
P10200473A0171|125 128|FLIP
P08530384A0559|119 125|Oct-DNA
P09535835A0279|7 14|Kinectin
P09315633A0333|91 94|IRFs
P08521414A1384|73 80|p16INK4A
P07784061A0894|15 28|small G proteins
P00593119T0001|42 44|IgE
P09111309A0674|24 26|p44
P09271400A0475|86 89|E2F2
P11327858A0087|26 28|Arf
P11137296A1216|58 62|PFK-B
P08209772A0167|3 9|ns2 gene
P07760841A0647|17 44|ADH2 upstream regulatory region
P09012405A0785|61 65|TFIIH
P10870043A0621|22 25|GnRH
P10600171A1066|39 44|CYP3A2
P10850719A0680|0 12|Vbeta segments
P01536153A0574|195 197|IgE
P09382924A0131|237 241|PSMB7
P10336495A0547|91 94|NCoR
P08086450A0467|178 180|Sp1
P08504932A0123|20 29|GATA factor
P11222720A1699|14 17|RPMS
P07963540A0795|75 78|RelA
P00216939T0001|32 61|tricarboxylic acid dehydrogenase
P09371626A1345|12 20|replicase
P08566773A1023|60 75|fungal chitinases
P07876194T0000|34 63|epidermal growth factor receptors
P01682509A0539|88 93|HIV LTR
P10913304A0894|54 57|SAP1
P11413148A0573|33 35|SH2
P10446912A0883|52 54|OF3
P10688663A0207|139 144|TFIIIA
P01968224A0119|150 163|Drosophila PCNA
P11171118A0836|28 32|PSE-B
P02390989A0745|47 53|GPE gene
P01512259A0867|132 145|mammalian furin
P10671519A0641|34 37|MAN1
P09882303A1984|45 47|JNK
P10890911A0470|62 65|LEF1
P03065141A0448|32 35|citA
P02555519A0798|58 61|CDR3
P08396120A0690|3 28|rhaB transcription start site
P07863047A0229|29 31|ACE
P07616569A0168|264 268|rpl16
P07713421A1435b|113 117|SxlM4
P07803809A1852|88 101|tyrosine kinase
P09181130A1067|108 109|r3
P09678579A0768|35 43|AtCP1 gene
P09990507A0000|71 72|E3
P08703005A0645|90 92|Sp1
P08497280A0266|20 23|SWI4
P00986925A0002|11 20|calcitonin
P01321277A0342|141 143|UR2
P09335298A1227|178 183|parCBA
P11355576A1125|3 9|cyclins
P08208540A0000|19 27|NFKB2 gene
P09463380A1050|76 80|Smad1
P08163183T0000|104 114|XylA enzymes
P09202859A0091|48 50|HCG
P10762348A0269|21 32|STAT proteins
P11118438A0411|29 34|MdPin1
P09389982A1383|101 111|prothrombin
P08871567A0000|0 11|MSSP proteins
P07935491A0495|5 7|RZR
P11137296A0923|215 219|PFK-A
P11278488T0000|68 86|focal adhesion kinase
P09372908A1068|139 153|Polycomb protein
P06797063A0000|0 9|Factor VIII
P08016102A1238|201 204|HO-1
P08710371A0000|77 102|tumor-suppressor protein p53
P08731511A0625|45 49|ATIII
P03865743A0859|51 54|apo B
P11029467T0000|0 26|Vasoactive intestinal peptide
P09122168A1427|104 107|GRK2
P02713994A0482|10 21|anti HSV type 1
P09111309A0674|16 20|Ets-2
P10593939A0747|152 156|SRZ21
P09755199A0559|29 31|Scm
P10318859A0535|31 50|tyrosine phosphatases
P09132011A0298|121 153|Drosophila cell cycle control protein
P02145195A0253|99 108|Sm proteins
P11559564A0459|37 50|topoisomerase I
P08496185A0484|51 76|S. pombe adenylate kinase gene
P08808707A0631|38 66|extra-cellular regulated kinase
P11029459A0000|31 39|TGF-beta1
P09050867A0542|55 68|nuclear factor 1
P10579331A1225|103 106|pSRE
P11310937A0548|149 158|fibrinogen
P09442080A0856|56 60|SHP-2
P10448095A0865|3 13|STAT protein
P11062068T0000|21 44|mitogen-activated protein
P07592706A1465|13 15|LPL
P11418662A0917|96 98|p65
P10501965A0879|135 139|Gpr31
P10329736A0681|68 77|p85 subunit
P10557072A1218|23 26|ULK2
P09192769T0000|43 48|CHEMR1
P05781385T0000|20 44|phenolphthalein sulphatase
P11046148A0716|78 82|Nedd4
P09159183A0119|8 31|ocs element binding factors
P01989999A0000|54 62|EC 6.3.4.4
P11297545A0948|104 106|hGH
P10810083A1283|3 28|serine-threonine kinase gene
P10470220A1011|80 90|Protein S100
P09517989A0476|64 66|CD4
P09388198A1396|72 74|ERK
P07678006A0472|0 4|RNase
P09514272A0482|100 102|P16
P11036938A1162|180 192|gonadotropins
P09305755A0540|75 88|nuclear factor 1
P10375718A0000|0 26|Basic fibroblast growth factor
P09454735A1782|64 72|MAP kinase
P10414451A0093|144 168|anticardiolipin antibodies
P03785212A1128|0 4|RPS14
P08710377A0577|0 2|Cbl
P08443122A0657|32 40|PILOT gene
P07860646A1363|96 100|FGF-2
P07908827A1200|212 231|RAR responsive element
P08702826A0870|34 53|GSTP1 silencer element
P07897696A0000|0 45|Erythrocyte delta-aminolevulinic acid dehydratase
P08005412A0608|107 122|engrailed PS sites
P08626493A1468|187 197|wild type E1A
P08395010T0000|52 72|retinoic acid receptors
P10207049A1001|104 107|CUP1
P08902847A1946|147 159|hCG alpha 1 beta
P08463284A1531|0 15|Nuclear beta II PKC
P06272844A0000|113 131|micrococcal nuclease
P08952965A1182|221 224|CDR2
P09840932A0365|32 36|B-Myb
P09927585A0796|137 139|Sp1
P09564860A2315|205 213|Gs protein
P10476970A0542|29 56|Rapl GTPase-activating protein
P10620335A0749|16 18|AHR
P02713994A0482|25 46|anti HSV type 2 antibodies
P07565740T0000|62 104|Pdr5 ATP-binding cassette multidrug transporter
P09204570A0110|54 57|nmh7
P10477583A0000a|45 55|Fc receptors
P03682805A0375|13 19|albumin
P09182707A0254|68 71|p125
P09105530A0000|13 20|lysozyme
P09436706A0168|182 211|gonadotrophin-releasing hormone
P08818718A1229|123 126|MDR1
P03027905A0632|0 10|Plasma renin
P02196176A0749|8 13|TREB36
P10918572A0794|65 69|ErbB4
P02509123A0371|18 20|IFN
P08977235A0134|77 80|STAT
P08794339A1162|116 134|CREB-binding protein
P11486476A0147|115 123|troponin T
P09716179A0974|190 191|RB
P11092886A0341|93 124|phosphoenolpyruvate carboxykinase
P10805738A0799|43 46|MyoD
P09864141A0528|12 16|Stat3
P10024498A0783|51 56|HNF-3 X
P07588633A0362|182 184|Mos
P09341139A0690|127 140|beta-arrestin 1
P10918572A1547|146 164|TGF-alpha precursors
P08627719A0784|147 150|CstF
P07948921A0051|54 73|stilbene synthase cDNA
P03004982A0199|102 105|fbcB
P04544704T0001|22 37|rheumatoid factor
P08630599A0534|14 27|elastin peptide
P02333749A0411|69 86|serum IgE antibodies
P07490079A0825|101 114|murine STEP gene
P08626785A0674|156 191|mouse tissue transglutaminase promoters
P08382778A0891|71 80|Raf kinases
P09028308A0590|135 139|G-CSF
P08148463A0000|182 190|multi-CSF
P10848993A0000|35 61|methylmalonyl-CoA mutase gene
P09618475A0747|94 97|Nrd1
P11031252A0646|150 157|PKC delta
P10521509A0000|185 188|RGS9
P11007961A0930|92 95|PP2A
P08810278A0682|51 57|BCR / ABL
P11145887A1393|95 99|c-Fos
P11139469A0402|102 115|protein kinase C
P10195690A0000|3 43|peroxisome proliferator-activated receptors
P09581834A2578|185 189|CDKIs
P03934667A0124|5 28|chromosomal crsA mutations
P04014833A0400|95 112|phytohemagglutinin
P08576179A0126|48 97|eukaryotic translation initiation factor 2 alpha subunit
P10428811A1067|92 94|Src
P08220494A0231|64 79|30 bp cyt-1 element
P08823163T0000|93 95|SH3
P09515921A1662|76 84|pca operon
P08432137A0000|118 132|pleural lysozyme
P07590283A0820|30 36|Pol beta
P10910073A0876|10 25|PDGFbetaR fusions
P08383217A0357|40 44|Bel-1
P10090943A1426|17 20|CD79
P02555703T0000|31 43|interleukin-3
P07828600A0095|55 74|gamma-globin promoter
P01386897A0000|128 131|CLN2
P09769910A1700|49 51|TNF
P00818380A0239|0 15|Rheumatoid factor
P01970801A0925|39 42|Ly-1
P09159111A0437|80 88|Skn domain
P10860827A0399|101 104|CSX1
P10799879T0000|57 74|pleckstrin homology
P10036191A0000|121 124|TFEC
P08218230A1505|96 119|hepatocyte nuclear factor 1
P08432137A0000|134 137|PLYS
P09045805A0945|65 81|E. coli acoK mutants
P10385915A1341|37 45|MITF locus
P09151806A1125|55 66|mLAT pre-mRNA
P10779508T0000|120 139|human lactoferrin gene
P03371894A0355|0 7|Vimentin
P09426958A0110|51 55|CO-Ag
P01172734T0035|15 22|HL-A W-27
P07902532A1655|60 68|BOXF1 gene
P09368058A0969|58 61|Cdc2
P10611320A0816|73 76|CAK1
P00499588T0000|49 55|insulin
P09259315A0809|26 44|GT-IIC-like enhanson
P10359673A0000|3 15|yeast LPD1 gene
P09618150A0127|160 167|UCP1 mRNA
P09234717A0000|66 84|c-cbl proto-oncogene
P11294895A0292|69 96|Saccharomyces cerevisiae Sec14
P09373155T0000|95 112|axonemal dynein gene
P10951848A0230|35 69|granulocyte-colony stimulating factor
P11220306A0911|56 66|sigma factor
P02549036A0000|3 38|Bacillus subtilis phage phi 105 repressor
P07720572A0701|15 26|myoD promoter
P09671791T0000|30 65|platelet-derived growth factor receptor
P08057833A0573|6 17|ParA proteins
P10681588A0899b|86 114|activating transcription factor
P09753774A1642|96 98|GF3
P10051488A1610|27 40|TIMP-1 promoter
P10483945A0641|8 12|CK-MB
P09544991A0750|27 31|SHP-2
P10706475A0644|50 52|DPP
P08519862T0001|13 33|anti-HCV IgM antibodies
P08189533A0919|120 123|NS53
P07744776A0617|60 64|U6 RNA
P07749461A0632|108 119|sGTH alpha-G1
P10597317A1156|179 181|JNK
P09398332A0732|39 44|CTLA-4
P07935370A0000|26 28|CD4
P08569684A0000|105 128|eukaryotic protein kinase C
P07820057A0000|0 23|Tumor necrosis factor alpha
P01688841A0430|41 44|invJ
P07580058A0000|88 116|plasminogen activator inhibitor
P10585480A0157|22 30|SH3 domain
P02830282A0155|76 106|Staphylococcus aureus V-8 protease
P09635276A1608|12 28|myosin phosphatase
P10082573A1015|186 191|DNase I
P09566876A0000|33 37|TFIIA
P01526658A0454|0 8|IFI 16 mRNA
P10446998A0955|224 241|nuclear protein SP-1
P09843572A0944|44 47|Cdr2
P10665798A0598|105 124|lactate dehydrogenase
P08986770A0268|31 35|I-POU
P09712898T0000|60 63|SAPK
P10652102A0620|73 75|Ty1
P10799501A1391|90 94|Cdc42
P09108029A0399|52 55|AP-1
P08063836A0904|14 18|c-Abl
P09010223A0667|65 68|PEA3
P01265887T0001|8 17|factor VIII
P09046090T0000|73 90|glucose transporter
P07563090A0124|206 209|PPT2
P08709245A1521|206 210|HDAgs
P08663392A0215|27 39|human DSG3 gene
P09453537A0863|102 104|SP1
P10406843A1265|12 24|GlcNAc-TI mRNA
P11069756A2618|212 243|G-protein-coupled-receptor kinase
P02557217A0398|19 28|calcitonin
P08955189A1198|112 114|Sp1
P01545818A0696|57 61|v-Src
P09780336A0771|10 17|Msy2 mRNA
P10792718T0000|18 30|AfsA homologue
P11309373A0783|10 18|mCTR mRNAs
P08861963A0375b|16 29|RNA polymerases
P08637717A0817|46 48|p21
P11572467T0000|56 81|tissue plasminogen activator
P06286443A0498|18 21|ACTH
P01832197T0001|9 26|D2 dopamine receptor
P08144615A0533|21 37|endoprotease Asp-N
P09735368A0636|10 25|wild-type m8 3' UTR
P07708058A0178|66 83|activator protein-1
P01538403A1058|35 39|TFIID
P10749932A0000|0 7|Paxillin
P09652737A1244|77 81|Fra-1
P09727046A0784|3 10|CBF1 site
P08663310A0157|107 110|IEGs
P08848052A0733|27 30|Gle1
P03192950A0566|54 56|TSH
P10781423A0993|131 135|TTF-1
P01577819A0709|10 29|PRP-precursor alleles
P09389669A1009|11 13|omb
P08524292A1022|44 46|YY1
P10882163A1077|154 162|aromatase
P07501458A0578|37 42|Ig / EBP
P11560992A0000|25 54|mitogen-activated protein kinase
P02549343A1008|17 19|gpI
P09827878A0091|54 56|SOD
P10586115A0477|82 90|TNF-alpha
P10972980A0295|117 140|heterotrimeric G-proteins
P11030744A0763|16 21|Trdpm1
P10103002A0705|35 45|chicken gp42
P02256678A1224|89 97|HSC82 gene
P09352016A1110|6 12|AF G-CSF
P09819377A1209|51 56|snR13F
P10687855T0000|0 41|Mouse growth hormone transcription factor Zn-16
P07537362A1112|53 56|Eps8
P08838148A1218|40 55|mouse TRH receptor
P02674679A1237|12 21|S1 nuclease
P08234276A0556|87 107|NF-kappa B binding sites
P01972379T0042|28 36|CPS domain
P09216936T0000|53 58|leptin
P07941750A0344|43 65|prokaryotic hydantoinase
P02637597A0362|101 103|IgG
P09118664A1734|46 64|nitric oxide synthase
P02176822A0000|29 32|MFPK
P09795213A0129|268 270|EWS
P09139694A0789|0 8|CTF1 alpha
P09335619A0583|243 252|orf221 gene
P08668201A1059|108 118|MATalpha1 IE
P08550467A0863|28 31|scrB
P07854130T0000|118 138|type 4 prepilin proteins
P11114294A0075|170 173|CFTR
P03280807A0000|14 23|suf12 locus
P07964459A0845|38 46|LIM domain
P09925372A1063|73 80|HFHZ mRNA
P09328343A0181|92 94|E2A
P09165118A0311|2 13|unc-4 mutants
P09171389A0549|131 141|Thermus PyrR
P09490676A0800|21 34|recombinant Myb
P07748952A0462|32 36|PmiaA
P10318806A0918|175 177|Ras
P03428274A0000|91 93|Ad2
P08524260A0835|56 66|human LTBP-2
P10220275A0694|23 32|Gbetagamma
P10864641A1400|72 81|HA molecule
P02796988A0735|22 24|Sp1
P07935468T0000|50 78|epidermal growth factor receptor
P10801860A0000|25 37|I-type lectins
P10748113A0187|20 29|RIM protein
P09619777A1583|100 105|pepsin
P08386592A0089|144 164|Elk-1 C-terminal region
P11059786A0682|105 107|Ras
P08288633A0144|174 203|GTPase-activating protein region
P07509449A0000|79 83|v-Crk
P08195186A0000|68 70|Tea
P10861906A0999|3 20|delta srb10 mutation
P07874060A0810|50 64|xanthine oxidase
P09519830A0282|187 230|chloramphenicol acetyltransferase reporter gene
P09687498A1173|59 64|v-erbA
P07791769A0826|61 82|TATA box-binding protein
P11296288A1107|65 67|gag
P07729427A0942|35 42|hTAFII18
P02052592A0000|341 386|granulocyte-macrophage colony-stimulating factor
P06151942A0235|152 160|gamma-GTP
P11160860A0662|27 39|IkappaB kinase
P09420275A1111|51 55|LMP-2
P11160860A0662|41 48|IKK-beta
P11697760A0000|98 100|PTH
P01634464A0163|26 34|factor VII
P01695322A0000|0 4|Wnt-1
P08337841A0612|35 42|GNS genes
P01081904A0198|0 5|Fibrin
P09822685A0596|40 56|Lu-ECAM-1 peptides
P07784061A0894|59 61|TTF
P08083963A0795|26 28|VBP
P10861909A0502|136 145|his3+ genes
P08152800A0357|8 16|ETS domain
P08227129T0000|51 58|C protein
P02969819A0814|103 116|Cmu transcripts
P11416012T0000|74 80|insulin
P02158927A0000|106 109|UTR3
P10358138A0672|85 88|SLAM
P07516466A1054|83 86|PP2A
P09452444A0000|0 12|Interleukin-6
P09751114A1987|68 71|MyoD
P09263856A0563|36 38|Gla
P10810294A0730|26 27|GH
P09178752A0574|0 2|EGF
P10090535A1194|36 39|apoB
P02158927A0000|111 114|OSM1
P11315633A0920|28 52|RNA dependent RNA polymerase
P08582143A0614|143 156|beta-lactamase
P09531538A0983|69 83|dU2AF38 RS domain
P09371626A1345|40 48|mutant VP2
P08798443A0660|183 209|mim-1A Myb-responsive element
P10229682A1151|39 85|nuclear-factor-kappaB-binding-site-like sequence
P09169852A0235|20 31|pag-3 alleles
P03544858A0374|49 55|insulin
P10637230A0332|64 68|Stat1
